job_id,function_group,job_kind,purpose,scheduler_result,scheduler_evidence,exit_code,functional_result,scientific_result,scientific_reason,material,workflow_step,workflow_id,partition,node,cpus,memory,gpus,submitted_at,started_at,finished_at,queue_seconds,run_seconds,vasp_wall_seconds,peak_rss_kbytes,stdout_bytes,stderr_bytes,stdout_sha256,stderr_sha256,evidence_files,notes
33839,build_and_release,build,"Build, test, and publish an immutable release",completed,successful_terminal_job_log,0:0_by_terminal_evidence,passed,not_applicable,,,,,,,,,,,,,,,,,37882,5812,9f88bc5770975afed9f263d32a359dd32f3607cb75cfc7ee4ae21fbf743d60be,dd5d939acaf78dddda1337b89a58cfbbda1d4ee0174eaee8da980357ba5eeb98,logs/build-33839.out;logs/build-33839.err,
33852,web_service,service,Run the long-lived FastAPI and frontend service,cancelled,slurmd_cancellation_record,,passed_then_controlled_stop,not_applicable,,,,,,anode16,,,,,,2026-08-12T11:47:10.010,,,,,10382,762,f76ce663ddc0f27e428ee4abd4f1bb81387d9b2c84f68761fe667e99dc8873c4,1499e1183b6a7d02e04e283165697f6b2efe9bde4f4c2aa88d4ae6613dbcbb03,logs/service-33852.out;logs/service-33852.err,
33979,build_and_release,build,"Build, test, and publish an immutable release",failed,saved_scontrol,1:0,failed,not_applicable,,,,,Students,anode18,4,,,2026-08-08T16:28:09,2026-08-08T16:28:10,2026-08-08T16:28:10,1.0,,,,0,54,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,46d23a7d35544f1006a982da192b5f11be0ac5cb3ef133ff3f53f93ff03adfe5,logs/build-33979.out;logs/build-33979.err,release manifest was missing; failure did not switch current
33998,recovery_and_rollback,rollback-smoke,Exercise isolated release rollback,failed,terminal_job_log,nonzero_by_terminal_evidence,failed,not_applicable,,,,,,,,,,,,,,,,,0,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,logs/rollback-smoke-33998.out;logs/rollback-smoke-33998.err,rollback drill lacked the synthetic Operator fixture
34001,recovery_and_rollback,rollback-smoke,Exercise isolated release rollback,failed,terminal_job_log,nonzero_by_terminal_evidence,failed,not_applicable,,,,,,,,,,,,,,,,,0,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,logs/rollback-smoke-34001.out;logs/rollback-smoke-34001.err,controlled termination status was propagated by the rollback drill
34005,recovery_and_rollback,rollback-smoke,Exercise isolated release rollback,completed,saved_scontrol,0:0,passed,not_applicable,,,,,P107-A100,anode16,2,,,2026-08-08T17:02:14,2026-08-08T17:02:15,2026-08-08T17:02:18,1.0,3,,,84,0,1ef4a7d0ffd8d578e3aeb34b2d406f9898bad2b51c9cfb7c9a7a0913ac80fb5f,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,logs/rollback-smoke-34005.out;logs/rollback-smoke-34005.err,
34039,access_and_roles,viewer-baseline,Run Viewer baseline authorization tests,completed,successful_terminal_job_log,0:0_by_terminal_evidence,passed,not_applicable,,,,,,,,,,,,,,,,,0,3548,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,fb399ff7b450fd6b8d6154f232405f506d79eed6de85faf0fc34ceab00a995c6,logs/viewer-baseline-34039.out;logs/viewer-baseline-34039.err,
34040,access_and_roles,viewer-tests,Run Viewer authorization tests,completed,successful_terminal_job_log,0:0_by_terminal_evidence,passed,not_applicable,,,,,,,,,,,,,,,,,0,4394,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,48a8319ec7ac1aeef1da5f8908a013ef373ab706a7818978210e45d5414fc338,logs/viewer-tests-34040.out;logs/viewer-tests-34040.err,
34041,access_and_roles,provision-viewer,Provision the Demo Viewer identity,completed,successful_terminal_job_log,0:0_by_terminal_evidence,passed,not_applicable,,,,,,,,,,,,,,,,,0,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,logs/provision-viewer-34041.out;logs/provision-viewer-34041.err,
34045,access_and_roles,viewer-tests,Run Viewer authorization tests,completed,successful_terminal_job_log,0:0_by_terminal_evidence,passed,not_applicable,,,,,,,,,,,,,,,,,0,4592,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,b1fa5cbac0d98f9fc3009e69af701648e86bcc78bee10c04785920addb641384,logs/viewer-tests-34045.out;logs/viewer-tests-34045.err,
34046,access_and_roles,provision-viewer,Provision the Demo Viewer identity,completed,successful_terminal_job_log,0:0_by_terminal_evidence,passed,not_applicable,,,,,,,,,,,,,,,,,0,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,logs/provision-viewer-34046.out;logs/provision-viewer-34046.err,
34062,access_and_roles,operator-acceptance-test,Run Operator and Viewer authorization acceptance tests,completed,saved_scontrol,0:0,passed,not_applicable,,,,,Students,anode20,1,,,2026-08-08T21:32:43,2026-08-08T21:32:44,2026-08-08T21:32:56,1.0,12,,,0,2270,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,256097b84d38068ce1c6684518049f9757b2be8f969d4b4227b698d382007620,logs/operator-acceptance-test-34062.out;logs/operator-acceptance-test-34062.err,
36592,snapshot_and_provenance,preview-snapshot,"Capture database, release, service, and scheduler evidence",failed,terminal_job_log,nonzero_by_terminal_evidence,failed,not_applicable,,,,,,,,,,,,,,,,,0,238,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,8c6aa7d6d43e761b1489910bea2e0d119dfd8b30a76075e92e5a9a4b7d7607da,logs/preview-snapshot-36592.out;logs/preview-snapshot-36592.err,snapshot could not obtain the expected scheduler evidence
36596,snapshot_and_provenance,preview-snapshot,"Capture database, release, service, and scheduler evidence",failed,terminal_job_log,nonzero_by_terminal_evidence,failed,not_applicable,,,,,,,,,,,,,,,,,0,89,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,1f17a2ba35cc97d345946bb5344414c5dcb86dac8c4101b2881f524825367be3,logs/preview-snapshot-36596.out;logs/preview-snapshot-36596.err,snapshot could not reach the target service
36597,web_service,service,Run the long-lived FastAPI and frontend service,cancelled,slurmd_cancellation_record,,passed_then_controlled_stop,not_applicable,,,,,,anode01,,,,,,2026-08-14T17:24:43.110,,,,,4799,728,4a0dbaa239f29b1ace91c4e4baebb7dec6ed6091d41fe4c0b3e271314fc68c77,6e75a4e1a833cc175c8b364b4f803e85add771213640416dae894d555ec811a5,logs/service-36597.out;logs/service-36597.err,
36608,snapshot_and_provenance,preview-snapshot,"Capture database, release, service, and scheduler evidence",completed,successful_terminal_job_log,0:0_by_terminal_evidence,passed,not_applicable,,,,,,,,,,,,,,,,,521,0,8846bb313f80913c96479c0030498d429a4ca2936d9d7ef32c23dba5cc233db8,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,logs/preview-snapshot-36608.out;logs/preview-snapshot-36608.err,
36611,build_and_release,preview-build,Build an isolated frontend preview,completed,successful_terminal_job_log,0:0_by_terminal_evidence,passed,not_applicable,,,,,,,,,,,,,,,,,67768,9427,7b1c680428597ae59a26b5b53fcbfb1c62868d208805ff464a5bd6bec604d9fe,943d577fa19d3cff6634d925af14caeed9c606600a770d18965deddba9e92acb,logs/preview-build-36611.out;logs/preview-build-36611.err,
36612,web_service,preview-service,Run an isolated frontend preview service,cancelled,slurmd_cancellation_record,,passed_then_controlled_stop,not_applicable,,,,,,anode01,,,,,,2026-08-12T13:04:16.798,,,,,41404,728,1b587eff80126d2c6f4bedbfd4a76a2f5a626095a09675e08379c41ca644d7a8,ad1d0b9bf23b17dfb8e821e02b5a2a8b10935b1d4dc054164f359c24c701a7e9,logs/preview-service-36612.out;logs/preview-service-36612.err,
36627,snapshot_and_provenance,preview-snapshot,"Capture database, release, service, and scheduler evidence",completed,successful_terminal_job_log,0:0_by_terminal_evidence,passed,not_applicable,,,,,,,,,,,,,,,,,953,0,3cfd5fb5fce55399fda62ea97cf4f6992d475d3e069992a4b5d5a59ccaaaff1e,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,logs/preview-snapshot-36627.out;logs/preview-snapshot-36627.err,
36637,snapshot_and_provenance,preview-snapshot,"Capture database, release, service, and scheduler evidence",completed,successful_terminal_job_log,0:0_by_terminal_evidence,passed,not_applicable,,,,,,,,,,,,,,,,,521,0,7986324c4144bf133a648d0bfc59e0593b1b6a3d57cdfad8e132932f735a608b,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,logs/preview-snapshot-36637.out;logs/preview-snapshot-36637.err,
36638,build_and_release,preview-build,Build an isolated frontend preview,completed,successful_terminal_job_log,0:0_by_terminal_evidence,passed,not_applicable,,,,,,,,,,,,,,,,,67799,9427,95ef7112a33275923fc45b860aa8fd8c6e0de6e7f1ff8107e5a3c6c9b468e2e8,6e32b5e772c78ba74fa8210006ec0d0cffe87ab8d26029c8a7fac071192c3375,logs/preview-build-36638.out;logs/preview-build-36638.err,
36641,web_service,preview-service,Run an isolated frontend preview service,cancelled,slurmd_cancellation_record,,passed_then_controlled_stop,not_applicable,,,,,,anode01,,,,,,2026-08-12T14:25:43.648,,,,,34341,728,9d2f4b667a2cb2405d9bdea2c92520a69ed5518a610c8d630cd78e53ac138f34,0a70da004c677400d556121f321ac9f77f2bd7800f0556202ba4230bdf5cd88e,logs/preview-service-36641.out;logs/preview-service-36641.err,
36653,snapshot_and_provenance,preview-snapshot,"Capture database, release, service, and scheduler evidence",completed,successful_terminal_job_log,0:0_by_terminal_evidence,passed,not_applicable,,,,,,,,,,,,,,,,,953,0,7deee664b22132b50add87ff21494e856d7d9c9ef9d530c6e53b8bb0e2e7e404,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,logs/preview-snapshot-36653.out;logs/preview-snapshot-36653.err,
36654,web_service,preview-service,Run an isolated frontend preview service,cancelled,slurmd_cancellation_record,,passed_then_controlled_stop,not_applicable,,,,,,anode01,,,,,,2026-08-14T14:30:02.009,,,,,20038,721,5be5036797db57bb36d4163daf577fa52332fe5c6ab03cb4802b206852451950,6a6d5d98c9536191de7fa1e9279d7521a6d7b1261c7836672665f2757a0d75b7,logs/preview-service-36654.out;logs/preview-service-36654.err,
37390,snapshot_and_provenance,preview-snapshot,"Capture database, release, service, and scheduler evidence",completed,successful_terminal_job_log,0:0_by_terminal_evidence,passed,not_applicable,,,,,,,,,,,,,,,,,521,0,966961d72385c99573617d6f7b5cdc60da09ba1c67e01d0120c630f88c783e27,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,logs/preview-snapshot-37390.out;logs/preview-snapshot-37390.err,
37391,build_and_release,workflow-preview-build,Build an isolated workflow frontend preview,failed,terminal_job_log,nonzero_by_terminal_evidence,failed,not_applicable,,,,,,,,,,,,,,,,,26747,2860,800af5b06838e1db332ffe4ecd2203bfb971ba726ab51b212f6978f262d48d71,71d16ecd75f6b6f9685ef547cdcb887fda77ade0c935e2267a09acfab82266d8,logs/workflow-preview-build-37391.out;logs/workflow-preview-build-37391.err,workflow preview build stopped before the release verification marker
37394,snapshot_and_provenance,preview-snapshot,"Capture database, release, service, and scheduler evidence",completed,successful_terminal_job_log,0:0_by_terminal_evidence,passed,not_applicable,,,,,,,,,,,,,,,,,521,0,25f29d0fb4843e22d3aba7b3296f5f9ca1bb552f4e8941a0eab489d601352f60,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,logs/preview-snapshot-37394.out;logs/preview-snapshot-37394.err,
37395,build_and_release,workflow-preview-build,Build an isolated workflow frontend preview,completed,successful_terminal_job_log,0:0_by_terminal_evidence,passed,not_applicable,,,,,,,,,,,,,,,,,73041,40885,fbacc2f18563e03dd85340ebbd150e19d4c1bf173cb271df76b6d3cba63f9bba,8592aa9721d600c6f12aa2547968fcd3bb7b7fb6c20200421a554394bbeea242,logs/workflow-preview-build-37395.out;logs/workflow-preview-build-37395.err,
37397,web_service,workflow-preview-service,Run an isolated workflow preview service,cancelled,slurmd_cancellation_record,,passed_then_controlled_stop,not_applicable,,,,,,anode01,,,,,,2026-08-14T05:34:00.052,,,,,33032,827,2c0a434173246b87be26b62573e9e399ba0582f925da9607c8b8514168a3e0ac,06b1403163ebdb63736cca1c417038c5ee5b83bb3fd787c7b12c00c10f2af1b7,logs/workflow-preview-service-37397.out;logs/workflow-preview-service-37397.err,
37593,snapshot_and_provenance,preview-snapshot,"Capture database, release, service, and scheduler evidence",completed,successful_terminal_job_log,0:0_by_terminal_evidence,passed,not_applicable,,,,,,,,,,,,,,,,,521,0,9838c983e65d916c023102a00e42b7605532f53460100e97aa7e83c77d2fd907,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,logs/preview-snapshot-37593.out;logs/preview-snapshot-37593.err,
37594,build_and_release,workflow-preview-build,Build an isolated workflow frontend preview,completed,successful_terminal_job_log,0:0_by_terminal_evidence,passed,not_applicable,,,,,,,,,,,,,,,,,77883,41057,210e7a378061f973d7a6396f4b23b3e1902bfdf18f91b0b115ceb3e729d933a7,8bf78747b1d1a543ebd6b90c53d75d6c9008c2d4f1c9872a21d5b36646db0130,logs/workflow-preview-build-37594.out;logs/workflow-preview-build-37594.err,
37597,web_service,workflow-preview-service,Run an isolated workflow preview service,cancelled,slurmd_cancellation_record,,passed_then_controlled_stop,not_applicable,,,,,,anode01,,,,,,2026-08-14T14:04:24.468,,,,,52304,834,58a8334966275dcaf036b209c3c4bd71657f5eef9f453aeea9ff8904a07cf1cd,344bb1caeb06ff93baef3ae7ae778a3298a17330721bf3141bc60c4219a26eec,logs/workflow-preview-service-37597.out;logs/workflow-preview-service-37597.err,
37608,snapshot_and_provenance,preview-snapshot,"Capture database, release, service, and scheduler evidence",completed,successful_terminal_job_log,0:0_by_terminal_evidence,passed,not_applicable,,,,,,,,,,,,,,,,,953,0,4714e3a156981b0f753a5d72ee97011307366b66fc195e5903d536832125c756,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,logs/preview-snapshot-37608.out;logs/preview-snapshot-37608.err,
37611,web_service,workflow-preview-service,Run an isolated workflow preview service,cancelled,slurmd_cancellation_record,,passed_then_controlled_stop,not_applicable,,,,,,anode01,,,,,,2026-08-14T14:16:38.688,,,,,40761,834,8bd10f544d20c6c8cce134a34cc353bcdd2315a676401398f0a9474c678dee0f,667f879a31c4b2d686d385af3cf5fd266ab4753cc4c80909778b04dc526e3b11,logs/workflow-preview-service-37611.out;logs/workflow-preview-service-37611.err,
37614,snapshot_and_provenance,preview-snapshot,"Capture database, release, service, and scheduler evidence",completed,successful_terminal_job_log,0:0_by_terminal_evidence,passed,not_applicable,,,,,,,,,,,,,,,,,953,0,96da2f3c2b890ec6cb4b888af22ed1bd21a8d4186e78ebf5e5a5486605cb19f6,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,logs/preview-snapshot-37614.out;logs/preview-snapshot-37614.err,
37678,snapshot_and_provenance,preview-snapshot,"Capture database, release, service, and scheduler evidence",completed,successful_terminal_job_log,0:0_by_terminal_evidence,passed,not_applicable,,,,,,,,,,,,,,,,,521,0,7a6c91f36dc7fdd4d74d9480514a0c04ee0c37b129150ab8f50657f4fb166017,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,logs/preview-snapshot-37678.out;logs/preview-snapshot-37678.err,
37681,build_and_release,workflow-preview-build,Build an isolated workflow frontend preview,completed,successful_terminal_job_log,0:0_by_terminal_evidence,passed,not_applicable,,,,,,,,,,,,,,,,,77922,41057,52046683bdf37378b204a99dfcdb38f0debfe2c3d1b49366dc8e9683977d9234,5810907d88fd4569a8c32d6f717c2f0654b83bceaedd26133cc82d6850df7bee,logs/workflow-preview-build-37681.out;logs/workflow-preview-build-37681.err,
37683,web_service,workflow-preview-service,Run an isolated workflow preview service,cancelled,slurmd_cancellation_record,,passed_then_controlled_stop,not_applicable,,,,,,anode01,,,,,,2026-08-14T16:39:56.623,,,,,53921,834,e631091081e803d9f53314714750907a11e47fa587e4ebc34783314fd5c9a1e7,58c9965d98b375549cb7c3d57b6ec60cd13ebb559048c68a6a5f4952b3acabc0,logs/workflow-preview-service-37683.out;logs/workflow-preview-service-37683.err,
37689,build_and_release,build,"Build, test, and publish an immutable release",failed,terminal_job_log,nonzero_by_terminal_evidence,failed,not_applicable,,,,,,,,,,,,,,,,,17033,13410,fc5c57586d48ba612d7e11b4b52849e35867e051ee6bd76a300a40227e417ae4,d46c2ea0ed460ded595bbd38fd00b96da182e92893d3d438afc7806d4c5b797b,logs/build-37689.out;logs/build-37689.err,backend build tests failed
37703,snapshot_and_provenance,preview-snapshot,"Capture database, release, service, and scheduler evidence",completed,successful_terminal_job_log,0:0_by_terminal_evidence,passed,not_applicable,,,,,,,,,,,,,,,,,521,0,54c278fcfe1311ddadb2d12db70a4e3c567f38d066391390c9bbef99b463f142,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,logs/preview-snapshot-37703.out;logs/preview-snapshot-37703.err,
37704,build_and_release,workflow-preview-build,Build an isolated workflow frontend preview,completed,successful_terminal_job_log,0:0_by_terminal_evidence,passed,not_applicable,,,,,,,,,,,,,,,,,77916,41057,2fdeebeb0f9a18765c319a44e0eb354511b8e6e8e399ad3c85e6a704f458e0e7,12849aec5707ae5de218e3098aac13316aa060393af2bb118e2ac8956f0cfd29,logs/workflow-preview-build-37704.out;logs/workflow-preview-build-37704.err,
37707,web_service,workflow-preview-service,Run an isolated workflow preview service,cancelled,slurmd_cancellation_record,,passed_then_controlled_stop,not_applicable,,,,,,anode01,,,,,,2026-08-14T17:25:43.543,,,,,45162,834,c8f2b4a48ef1f29abdd219436e385b5194211b9c9a04ae56734f087202d53bfc,1665c9078c36e12166c732ac39fe19302f6bfe7ee008db9a3b778901947daa64,logs/workflow-preview-service-37707.out;logs/workflow-preview-service-37707.err,
37711,build_and_release,build,"Build, test, and publish an immutable release",completed,successful_terminal_job_log,0:0_by_terminal_evidence,passed,not_applicable,,,,,,,,,,,,,,,,,67944,10979,da45d3f2f4213c7855d75f23390e4916eb43e26b76e474e27631ef11cf3bb3b8,9ef815391cac4653164dc4240fe3a3a2d92cdd9e1a1c1db9152446327a52ebe4,logs/build-37711.out;logs/build-37711.err,
37713,web_service,service,Run the long-lived FastAPI and frontend service,failed,terminal_job_log,nonzero_by_terminal_evidence,failed,not_applicable,,,,,,,,,,,,,,,,,47,679,74837bb3b4d65b9d52f22a14437d523f3616618ca62e4cb323302f1851fae590,ad7d726590202f1842d961ea3e06fc1227736427719657fecfdb381fafb6385e,logs/service-37713.out;logs/service-37713.err,candidate service was allocated to a node whose port was already in use
37715,web_service,service,Run the long-lived FastAPI and frontend service,cancelled,slurmd_cancellation_record,,passed_then_controlled_stop,not_applicable,,,,,,anode02,,,,,,2026-08-18T17:22:10.048,,,,,8286,721,ad2b607764939d7aae14529299355a8ed48538de1fa4e9ce4d9d684b76da7f22,aaec0a14cbe4b2aaafaa2da5166cae39e57aeb8ca70365342ca1cd2a1dfeac23,logs/service-37715.out;logs/service-37715.err,
37718,snapshot_and_provenance,preview-snapshot,"Capture database, release, service, and scheduler evidence",completed,successful_terminal_job_log,0:0_by_terminal_evidence,passed,not_applicable,,,,,,,,,,,,,,,,,521,0,fec3c46e515f6523b7e80694301dfdd72a6521f8aa6298094b7e67990532aa94,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,logs/preview-snapshot-37718.out;logs/preview-snapshot-37718.err,
38592,snapshot_and_provenance,preview-snapshot,"Capture database, release, service, and scheduler evidence",completed,successful_terminal_job_log,0:0_by_terminal_evidence,passed,not_applicable,,,,,,,,,,,,,,,,,521,0,b3461ac47f89208a1b3d78270c6a847c832880e0efbcf41e82a38a4d9331a919,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,logs/preview-snapshot-38592.out;logs/preview-snapshot-38592.err,
38593,build_and_release,build,"Build, test, and publish an immutable release",completed,successful_terminal_job_log,0:0_by_terminal_evidence,passed,not_applicable,,,,,,,,,,,,,,,,,69664,47533,95d5bd36f4a28f72ef48d02c6d7bae599b8cbc512e5e8ddf4e8535b45c79e690,a5b08077402f9c29725d9721b0ba8b9ab31ea48a5ffb6ceb8967c62887ba293f,logs/build-38593.out;logs/build-38593.err,
38598,slurm_adapter,stage6-smoke,Exercise the real Slurm adapter,failed,terminal_job_log,nonzero_by_terminal_evidence,failed,not_applicable,,,,,,,,,,,,,,,,,0,42,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,36d0f6242943582f438e2bc061f49b0bb9abeb448eac151ae7f7a6c6766a64c3,logs/stage6-smoke-38598.out;logs/stage6-smoke-38598.err,Stage 6 smoke could not resolve the release backend from the Slurm spool
38620,snapshot_and_provenance,preview-snapshot,"Capture database, release, service, and scheduler evidence",completed,successful_terminal_job_log,0:0_by_terminal_evidence,passed,not_applicable,,,,,,,,,,,,,,,,,521,0,41feb3c345c82a28f7c31e282bc749e93e02f90244834a0045f7884aa9da5870,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,logs/preview-snapshot-38620.out;logs/preview-snapshot-38620.err,
38621,build_and_release,build,"Build, test, and publish an immutable release",completed,successful_terminal_job_log+project_evidence_document,0:0_by_terminal_evidence,passed,not_applicable,,,,,,,,,,,,,,42,,,69634,47756,fc74bd911436f13e75ae251163f739f873cdbf292a17850eec04cb5e047e3bed,f86c55408cc0ef62dd215f49560102261da2fde238d5cd9a92b9461540396042,logs/build-38621.out;logs/build-38621.err,
38623,slurm_adapter,stage6-smoke,Exercise the real Slurm adapter,completed,successful_terminal_job_log+project_evidence_document,0:0_by_terminal_evidence,passed,not_applicable,,,,,,,,,,,,,,8,,,0,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,logs/stage6-smoke-38623.out;logs/stage6-smoke-38623.err,
38625,slurm_adapter,stage6-child-probe,Real successful Slurm adapter probe,completed,saved_scontrol_json,0:0,passed,not_applicable,,,,,P107-RTX5090,anode01,1,256M,0,2026-08-16T10:30:07+00:00,2026-08-16T10:30:07+00:00,2026-08-16T10:30:08+00:00,0,1,,,,,,,evidence/stage6/job-38623/scheduler/success-scontrol.stdout;evidence/stage6/job-38623/summary.json,Stage 6 child job; not duplicated in root logs
38626,slurm_adapter,stage6-child-probe,Intentional nonzero-exit Slurm adapter probe,failed,saved_scontrol_json,42:0,expected_failure_observed,not_applicable,,,,,P107-RTX5090,anode01,1,256M,0,2026-08-16T10:30:08+00:00,2026-08-16T10:30:11+00:00,2026-08-16T10:30:11+00:00,3,0,,,,,,,evidence/stage6/job-38623/scheduler/fail-scontrol.stdout;evidence/stage6/job-38623/summary.json,Stage 6 child job; not duplicated in root logs
